"Territorial Unit,""Year"",""Sex"",""Age"",""Limited"""
"Ireland,""2004"",""Women"",""65-69"",""0.255"""
"Ireland,""2004"",""Women"",""70-74"",""0.276"""
"Ireland,""2004"",""Women"",""75-79"",""0.324"""
"Ireland,""2004"",""Women"",""80-84"",""0.402"""
"Ireland,""2004"",""Women"",""85+"",""0.359"""
"Ireland,""2004"",""Men"",""16-19"",""0.025"""
"Ireland,""2004"",""Men"",""20-24"",""0.05"""
"Ireland,""2004"",""Men"",""25-29"",""0.077"""
"Ireland,""2004"",""Men"",""30-34"",""0.045"""
"Ireland,""2004"",""Men"",""35-39"",""0.063"""
"Ireland,""2004"",""Men"",""40-44"",""0.092"""
"Ireland,""2004"",""Men"",""45-49"",""0.133"""
"Ireland,""2004"",""Men"",""50-54"",""0.095"""
"Ireland,""2004"",""Men"",""55-59"",""0.169"""
"Ireland,""2004"",""Men"",""60-64"",""0.232"""
"Ireland,""2004"",""Men"",""65-69"",""0.251"""
"Ireland,""2004"",""Men"",""70-74"",""0.297"""
"Ireland,""2004"",""Men"",""75-79"",""0.286"""
"Ireland,""2004"",""Men"",""80-84"",""0.337"""
"Ireland,""2004"",""Men"",""85+"",""0.455"""
"Italy,""2004"",""Women"",""16-19"",""0.011"""
"Italy,""2004"",""Women"",""20-24"",""0.018"""
"Italy,""2004"",""Women"",""25-29"",""0.028"""
"Italy,""2004"",""Women"",""30-34"",""0.033"""
"Italy,""2004"",""Women"",""35-39"",""0.043"""
"Italy,""2004"",""Women"",""40-44"",""0.056"""
"Italy,""2004"",""Women"",""45-49"",""0.069"""
"Italy,""2004"",""Women"",""50-54"",""0.084"""
"Italy,""2004"",""Women"",""55-59"",""0.131"""
"Italy,""2004"",""Women"",""60-64"",""0.144"""
"Italy,""2004"",""Women"",""65-69"",""0.181"""
"Italy,""2004"",""Women"",""70-74"",""0.222"""
"Italy,""2004"",""Women"",""75-79"",""0.252"""
"Italy,""2004"",""Women"",""80-84"",""0.275"""
"Italy,""2004"",""Women"",""85+"",""0.279"""
"Italy,""2004"",""Men"",""16-19"",""0.023"""
"Italy,""2004"",""Men"",""20-24"",""0.021"""
"Italy,""2004"",""Men"",""25-29"",""0.02"""
"Italy,""2004"",""Men"",""30-34"",""0.035"""
"Italy,""2004"",""Men"",""35-39"",""0.03"""
"Italy,""2004"",""Men"",""40-44"",""0.05"""
"Italy,""2004"",""Men"",""45-49"",""0.067"""
"Italy,""2004"",""Men"",""50-54"",""0.057"""
"Italy,""2004"",""Men"",""55-59"",""0.091"""
"Italy,""2004"",""Men"",""60-64"",""0.119"""
"Italy,""2004"",""Men"",""65-69"",""0.146"""
"Italy,""2004"",""Men"",""70-74"",""0.196"""
"Italy,""2004"",""Men"",""75-79"",""0.219"""
"Italy,""2004"",""Men"",""80-84"",""0.277"""
"Italy,""2004"",""Men"",""85+"",""0.282"""
"Luxembourg,""2004"",""Women"",""16-19"",""0.093"""
"Luxembourg,""2004"",""Women"",""20-24"",""0.096"""
"Luxembourg,""2004"",""Women"",""25-29"",""0.113"""
"Luxembourg,""2004"",""Women"",""30-34"",""0.078"""
"Luxembourg,""2004"",""Women"",""35-39"",""0.176"""
"Luxembourg,""2004"",""Women"",""40-44"",""0.156"""
"Luxembourg,""2004"",""Women"",""45-49"",""0.181"""
"Luxembourg,""2004"",""Women"",""50-54"",""0.21"""
"Luxembourg,""2004"",""Women"",""55-59"",""0.323"""
"Luxembourg,""2004"",""Women"",""60-64"",""0.235"""
"Luxembourg,""2004"",""Women"",""65-69"",""0.26"""
"Luxembourg,""2004"",""Women"",""70-74"",""0.272"""
"Luxembourg,""2004"",""Women"",""75-79"",""0.302"""
"Luxembourg,""2004"",""Women"",""80-84"",""0.374"""
"Luxembourg,""2004"",""Women"",""85+"",""0.181"""
"Luxembourg,""2004"",""Men"",""16-19"",""0.124"""
"Luxembourg,""2004"",""Men"",""20-24"",""0.076"""
"Luxembourg,""2004"",""Men"",""25-29"",""0.076"""
"Luxembourg,""2004"",""Men"",""30-34"",""0.026"""
"Luxembourg,""2004"",""Men"",""35-39"",""0.08"""
"Luxembourg,""2004"",""Men"",""40-44"",""0.193"""
"Luxembourg,""2004"",""Men"",""45-49"",""0.166"""
"Luxembourg,""2004"",""Men"",""50-54"",""0.189"""
"Luxembourg,""2004"",""Men"",""55-59"",""0.117"""
"Luxembourg,""2004"",""Men"",""60-64"",""0.194"""
"Luxembourg,""2004"",""Men"",""65-69"",""0.217"""
"Luxembourg,""2004"",""Men"",""70-74"",""0.309"""
"Luxembourg,""2004"",""Men"",""75-79"",""0.214"""
"Luxembourg,""2004"",""Men"",""80-84"",""0.264"""
"Luxembourg,""2004"",""Men"",""85+"",""0.285"""
"Portugal,""2004"",""Women"",""16-19"",""0.06"""
"Portugal,""2004"",""Women"",""20-24"",""0.072"""
"Portugal,""2004"",""Women"",""25-29"",""0.093"""
"Portugal,""2004"",""Women"",""30-34"",""0.132"""
"Portugal,""2004"",""Women"",""35-39"",""0.14"""
"Portugal,""2004"",""Women"",""40-44"",""0.191"""
"Portugal,""2004"",""Women"",""45-49"",""0.251"""
"Portugal,""2004"",""Women"",""50-54"",""0.276"""
"Portugal,""2004"",""Women"",""55-59"",""0.369"""
"Portugal,""2004"",""Women"",""60-64"",""0.445"""
"Portugal,""2004"",""Women"",""65-69"",""0.451"""
"Portugal,""2004"",""Women"",""70-74"",""0.468"""
"Portugal,""2004"",""Women"",""75-79"",""0.435"""
"Portugal,""2004"",""Women"",""80-84"",""0.446"""
"Portugal,""2004"",""Women"",""85+"",""0.327"""
"Portugal,""2004"",""Men"",""16-19"",""0.07"""
"Portugal,""2004"",""Men"",""20-24"",""0.051"""
"Portugal,""2004"",""Men"",""25-29"",""0.067"""
"Portugal,""2004"",""Men"",""30-34"",""0.099"""
"Portugal,""2004"",""Men"",""35-39"",""0.108"""
"Portugal,""2004"",""Men"",""40-44"",""0.127"""
"Portugal,""2004"",""Men"",""45-49"",""0.156"""
"Portugal,""2004"",""Men"",""50-54"",""0.222"""
"Portugal,""2004"",""Men"",""55-59"",""0.281"""
"Portugal,""2004"",""Men"",""60-64"",""0.34"""
"Portugal,""2004"",""Men"",""65-69"",""0.349"""
"Portugal,""2004"",""Men"",""70-74"",""0.418"""
"Portugal,""2004"",""Men"",""75-79"",""0.399"""
"Portugal,""2004"",""Men"",""80-84"",""0.455"""
"Portugal,""2004"",""Men"",""85+"",""0.269"""
"Spain,""2004"",""Women"",""16-19"",""0.044"""
"Spain,""2004"",""Women"",""20-24"",""0.068"""
