"Territorial Unit","Year","Sex","Age","Not Limited"
"Luxembourg","2004","Men","85+","0.359"
"Portugal","2004","Women","16-19","0.92"
"Portugal","2004","Women","20-24","0.896"
"Portugal","2004","Women","25-29","0.872"
"Portugal","2004","Women","30-34","0.819"
"Portugal","2004","Women","35-39","0.804"
"Portugal","2004","Women","40-44","0.745"
"Portugal","2004","Women","45-49","0.662"
"Portugal","2004","Women","50-54","0.578"
"Portugal","2004","Women","55-59","0.45"
"Portugal","2004","Women","60-64","0.347"
"Portugal","2004","Women","65-69","0.273"
"Portugal","2004","Women","70-74","0.175"
"Portugal","2004","Women","75-79","0.148"
"Portugal","2004","Women","80-84","0.138"
"Portugal","2004","Women","85+","0.202"
"Portugal","2004","Men","16-19","0.905"
"Portugal","2004","Men","20-24","0.922"
"Portugal","2004","Men","25-29","0.895"
"Portugal","2004","Men","30-34","0.86"
"Portugal","2004","Men","35-39","0.833"
"Portugal","2004","Men","40-44","0.82"
"Portugal","2004","Men","45-49","0.765"
"Portugal","2004","Men","50-54","0.682"
"Portugal","2004","Men","55-59","0.607"
"Portugal","2004","Men","60-64","0.491"
"Portugal","2004","Men","65-69","0.403"
"Portugal","2004","Men","70-74","0.335"
"Portugal","2004","Men","75-79","0.255"
"Portugal","2004","Men","80-84","0.209"
"Portugal","2004","Men","85+","0.274"
"Spain","2004","Women","16-19","0.938"
"Spain","2004","Women","20-24","0.913"
"Spain","2004","Women","25-29","0.888"
"Spain","2004","Women","30-34","0.865"
"Spain","2004","Women","35-39","0.843"
"Spain","2004","Women","40-44","0.809"
"Spain","2004","Women","45-49","0.792"
"Spain","2004","Women","50-54","0.731"
"Spain","2004","Women","55-59","0.624"
"Spain","2004","Women","60-64","0.605"
"Spain","2004","Women","65-69","0.557"
"Spain","2004","Women","70-74","0.505"
"Spain","2004","Women","75-79","0.404"
"Spain","2004","Women","80-84","0.388"
"Spain","2004","Women","85+","0.34"
"Spain","2004","Men","16-19","0.953"
"Spain","2004","Men","20-24","0.927"
"Spain","2004","Men","25-29","0.906"
"Spain","2004","Men","30-34","0.864"
"Spain","2004","Men","35-39","0.858"
"Spain","2004","Men","40-44","0.836"
"Spain","2004","Men","45-49","0.83"
"Spain","2004","Men","50-54","0.783"
"Spain","2004","Men","55-59","0.722"
"Spain","2004","Men","60-64","0.672"
"Spain","2004","Men","65-69","0.653"
"Spain","2004","Men","70-74","0.608"
"Spain","2004","Men","75-79","0.522"
"Spain","2004","Men","80-84","0.463"
"Spain","2004","Men","85+","0.464"
"Sweden","2004","Women","16-19","0.849"
"Sweden","2004","Women","20-24","0.855"
"Sweden","2004","Women","25-29","0.835"
"Sweden","2004","Women","30-34","0.813"
"Sweden","2004","Women","35-39","0.789"
"Sweden","2004","Women","40-44","0.771"
"Sweden","2004","Women","45-49","0.745"
"Sweden","2004","Women","50-54","0.695"
"Sweden","2004","Women","55-59","0.587"
"Sweden","2004","Women","60-64","0.566"
"Sweden","2004","Women","65-69","0.689"
"Sweden","2004","Women","70-74","0.577"
"Sweden","2004","Women","75-79","0.449"
"Sweden","2004","Women","80-84","0.491"
"Sweden","2004","Women","85+","0.423"
"Sweden","2004","Men","16-19","0.886"
"Sweden","2004","Men","20-24","0.873"
"Sweden","2004","Men","25-29","0.895"
"Sweden","2004","Men","30-34","0.837"
"Sweden","2004","Men","35-39","0.849"
"Sweden","2004","Men","40-44","0.85"
"Sweden","2004","Men","45-49","0.791"
"Sweden","2004","Men","50-54","0.728"
"Sweden","2004","Men","55-59","0.701"
"Sweden","2004","Men","60-64","0.634"
"Sweden","2004","Men","65-69","0.672"
"Sweden","2004","Men","70-74","0.587"
"Sweden","2004","Men","75-79","0.583"
"Sweden","2004","Men","80-84","0.492"
"Sweden","2004","Men","85+","0.457"
"Austria","2005","Women","16-19","0.939"
"Austria","2005","Women","20-24","0.926"
