"Territorial Unit","Year","Sex","Age","Severely Limited"
"Austria","2005","Women","35-39","0.042"
"Austria","2005","Women","40-44","0.046"
"Austria","2005","Women","45-49","0.064"
"Austria","2005","Women","50-54","0.108"
"Austria","2005","Women","55-59","0.109"
"Austria","2005","Women","60-64","0.107"
"Austria","2005","Women","65-69","0.146"
"Austria","2005","Women","70-74","0.225"
"Austria","2005","Women","75-79","0.36"
"Austria","2005","Women","80-84","0.417"
"Austria","2005","Women","85+","0.471"
"Austria","2005","Men","16-19","0.007"
"Austria","2005","Men","20-24","0.039"
"Austria","2005","Men","25-29","0.033"
"Austria","2005","Men","30-34","0.023"
"Austria","2005","Men","35-39","0.035"
"Austria","2005","Men","40-44","0.045"
"Austria","2005","Men","45-49","0.078"
"Austria","2005","Men","50-54","0.104"
"Austria","2005","Men","55-59","0.152"
"Austria","2005","Men","60-64","0.131"
"Austria","2005","Men","65-69","0.154"
"Austria","2005","Men","70-74","0.216"
"Austria","2005","Men","75-79","0.319"
"Austria","2005","Men","80-84","0.322"
"Austria","2005","Men","85+","0.523"
"Belgium","2005","Women","16-19","0.015"
"Belgium","2005","Women","20-24","0.014"
"Belgium","2005","Women","25-29","0.029"
"Belgium","2005","Women","30-34","0.027"
"Belgium","2005","Women","35-39","0.047"
"Belgium","2005","Women","40-44","0.066"
"Belgium","2005","Women","45-49","0.078"
"Belgium","2005","Women","50-54","0.12"
"Belgium","2005","Women","55-59","0.111"
"Belgium","2005","Women","60-64","0.096"
"Belgium","2005","Women","65-69","0.178"
"Belgium","2005","Women","70-74","0.165"
"Belgium","2005","Women","75-79","0.234"
"Belgium","2005","Women","80-84","0.312"
"Belgium","2005","Women","85+","0.4"
"Belgium","2005","Men","16-19","0.022"
"Belgium","2005","Men","20-24","0.025"
"Belgium","2005","Men","25-29","0.024"
"Belgium","2005","Men","30-34","0.04"
"Belgium","2005","Men","35-39","0.043"
"Belgium","2005","Men","40-44","0.044"
"Belgium","2005","Men","45-49","0.08"
"Belgium","2005","Men","50-54","0.07"
"Belgium","2005","Men","55-59","0.09"
"Belgium","2005","Men","60-64","0.12"
"Belgium","2005","Men","65-69","0.109"
"Belgium","2005","Men","70-74","0.137"
"Belgium","2005","Men","75-79","0.167"
"Belgium","2005","Men","80-84","0.247"
"Belgium","2005","Men","85+","0.237"
"Cyprus","2005","Women","16-19","0.013"
"Cyprus","2005","Women","20-24","0.012"
"Cyprus","2005","Women","25-29","0.024"
"Cyprus","2005","Women","30-34","0.009"
"Cyprus","2005","Women","35-39","0.047"
"Cyprus","2005","Women","40-44","0.06"
"Cyprus","2005","Women","45-49","0.094"
"Cyprus","2005","Women","50-54","0.107"
"Cyprus","2005","Women","55-59","0.159"
"Cyprus","2005","Women","60-64","0.167"
"Cyprus","2005","Women","65-69","0.242"
"Cyprus","2005","Women","70-74","0.362"
"Cyprus","2005","Women","75-79","0.45"
"Cyprus","2005","Women","80-84","0.489"
"Cyprus","2005","Women","85+","0.525"
"Cyprus","2005","Men","16-19","0.013"
"Cyprus","2005","Men","20-24","0.032"
"Cyprus","2005","Men","25-29","0.03"
"Cyprus","2005","Men","30-34","0.039"
"Cyprus","2005","Men","35-39","0.044"
"Cyprus","2005","Men","40-44","0.076"
"Cyprus","2005","Men","45-49","0.074"
"Cyprus","2005","Men","50-54","0.128"
"Cyprus","2005","Men","55-59","0.098"
"Cyprus","2005","Men","60-64","0.204"
"Cyprus","2005","Men","65-69","0.177"
"Cyprus","2005","Men","70-74","0.252"
"Cyprus","2005","Men","75-79","0.346"
"Cyprus","2005","Men","80-84","0.438"
"Cyprus","2005","Men","85+","0.497"
"Czech Republic","2005","Women","16-19","0.011"
"Czech Republic","2005","Women","20-24","0.024"
"Czech Republic","2005","Women","25-29","0.032"
"Czech Republic","2005","Women","30-34","0.032"
"Czech Republic","2005","Women","35-39","0.021"
"Czech Republic","2005","Women","40-44","0.031"
"Czech Republic","2005","Women","45-49","0.058"
"Czech Republic","2005","Women","50-54","0.086"
"Czech Republic","2005","Women","55-59","0.103"
"Czech Republic","2005","Women","60-64","0.082"
"Czech Republic","2005","Women","65-69","0.12"
"Czech Republic","2005","Women","70-74","0.188"
"Czech Republic","2005","Women","75-79","0.236"
"Czech Republic","2005","Women","80-84","0.242"
"Czech Republic","2005","Women","85+","0.358"
"Czech Republic","2005","Men","16-19","0.023"
"Czech Republic","2005","Men","20-24","0.035"
"Czech Republic","2005","Men","25-29","0.017"
"Czech Republic","2005","Men","30-34","0.022"
"Czech Republic","2005","Men","35-39","0.055"
"Czech Republic","2005","Men","40-44","0.059"
"Czech Republic","2005","Men","45-49","0.073"
"Czech Republic","2005","Men","50-54","0.046"
"Czech Republic","2005","Men","55-59","0.092"
"Czech Republic","2005","Men","60-64","0.09"
"Czech Republic","2005","Men","65-69","0.084"
"Czech Republic","2005","Men","70-74","0.162"
"Czech Republic","2005","Men","75-79","0.174"
"Czech Republic","2005","Men","80-84","0.225"
"Czech Republic","2005","Men","85+","0.223"
"Denmark","2005","Women","16-19","0"
"Denmark","2005","Women","20-24","0"
"Denmark","2005","Women","25-29","0"
"Denmark","2005","Women","30-34","0"
"Denmark","2005","Women","35-39","0"
"Denmark","2005","Women","40-44","0"
"Denmark","2005","Women","45-49","0"
"Denmark","2005","Women","50-54","0"
"Denmark","2005","Women","55-59","0"
"Denmark","2005","Women","60-64","0"
"Denmark","2005","Women","65-69","0"
"Denmark","2005","Women","70-74","0"
"Denmark","2005","Women","75-79","0"
"Denmark","2005","Women","80-84","0"
"Denmark","2005","Women","85+","0"
"Denmark","2005","Men","16-19","0"
"Denmark","2005","Men","20-24","0"
